File,Duration,BPM,Time_Signature,Genre,Labels,Sections
0049_closer,144.954,126,4|4,R&B,"[  0.         1.907032   9.526072  40.002232  54.287932  85.716472
 100.002172]",['silence' 'intro' 'verse' 'transition' 'chorus' 'bridge' 'chorus']
0050_clubcanthandleme,157.686,128,4|4,Pop,[  0.       1.875    8.4375  39.375   68.4375  99.375  113.4375],['silence' 'intro' 'chorus' 'verse' 'chorus' 'bridge' 'chorus']
0052_collector,191.126,138,4|4,Rock,"[  0.        3.47824  14.78252  48.69536  70.86914  92.17336 125.65142
 153.04256]","['silence' 'intro' 'verse' 'chorus' 'chorus' 'verse' 'chorus'
 'solo/instrumental']"
0053_commander,138.888,125,4|4,Pop,[ 0.        1.923076 16.323046 32.638112 48.002388 78.722324 94.082292],['silence' 'intro' 'verse' 'transition' 'chorus' 'bridge' 'chorus']
0054_conceited,162.41899999999995,99,4|4,Hip-Hop,"[  0.        7.22604  16.87428  55.46724  74.76372 103.70844 123.00492
 142.3014 ]",['silence' 'intro' 'verse' 'chorus' 'verse' 'chorus' 'chorus' 'outro']
0055_constantmotion,422.09,180,4|4,Prog,"[  0.          3.666652   64.9941065  86.3663345  97.0200225 107.6792625
 118.3366665 129.0181545 139.6390665 182.3412025 193.0264265 203.7023705
 224.9969745 258.8796705 347.0440305 357.7106545 379.0587665 400.3519265]","['silence' 'intro' 'verse' 'transition' 'verse' 'transition' 'chorus'
 'chorus' 'bridge' 'verse' 'transition' 'chorus' 'bridge'
 'solo/instrumental' 'transition' 'chorus' 'chorus' 'outro']"
0056_control,132.16899999999998,120,4|4,Pop,"[  0.           3.5         36.01474016  51.95724016  67.93987166
  83.89130766  99.83479166 115.77857966]","['silence' 'intro' 'verse' 'chorus' 'solo/instrumental' 'verse' 'chorus'
 'outro']"
0057_crankthat,137.372,140,4|4,Hip-Hop,"[  0.857142  15.428556  29.142828  56.571372  70.285644  83.999916
  97.714188 111.42846  125.142732]","['intro' 'chorus' 'verse' 'chorus' 'chorus' 'verse' 'chorus' 'chorus'
 'outro']"
0058_criticalacclaim,315.471,138,4|4,Metal,"[  0.697673  66.743643  94.563765 129.334461 157.136117 186.701157
 264.974833 278.887793]",['intro' 'verse' 'chorus' 'verse' 'chorus' 'bridge' 'verse' 'chorus']
0059_cupidshuffle,151.072,144,4|4,Hip-Hop,"[  0.         6.682084  13.368636  39.689982  53.478608  79.805806
  93.177018 106.959868 120.335416]","['intro' 'chorus' 'verse' 'transition' 'chorus' 'transition' 'transition'
 'verse' 'chorus']"
0061_dabutt,170.602,97,4|4,Hip-Hop,"[  0.        17.2629    27.144656  46.939804  66.709852  76.597056
  86.494832 106.285548 126.07776  145.855684]","['intro' 'transition' 'verse' 'chorus' 'transition' 'transition' 'verse'
 'chorus' 'bridge' 'chorus']"
0062_dance,138.235,113,4|4,Dance/Electronic,[ 0.       17.022416 25.513296 42.511776 59.495608 76.49202  93.484284],['chorus' 'chorus' 'verse' 'chorus' 'verse' 'chorus' 'bridge']
0063_daysgoby,115.488,127,4|4,Dance/Electronic,[ 0.       17.0058   32.124328 47.243    62.361088 77.481536],['intro' 'chorus' 'chorus' 'verse' 'chorus' 'verse']
0065_deadandbloated,319.053,61,4|4,Alternative,"[  0.         7.792024  36.7666    60.349979  91.452313 107.027017
 130.572257 161.72734  177.291348 208.398536 232.022866 285.828647]","['silence' 'intro' 'verse' 'chorus' 'transition' 'verse' 'chorus'
 'transition' 'bridge' 'verse' 'bridge' 'verse']"
0066_decentdaysandnights,155.15,172,4|4,Punk,"[  0.         4.190072  15.004214  33.4932    42.913782  56.86648
  67.983076  77.455891  91.399127 110.933951 121.749895 132.561258
 144.074111]","['silence' 'verse' 'chorus' 'verse' 'chorus' 'transition' 'verse' 'chorus'
 'transition' 'verse' 'verse' 'chorus' 'chorus']"
0068_devilsisland,311.392,167,4|4,Metal,"[  0.         6.442912  19.2996    55.614408  79.363172  90.97391
 103.17912  114.755784 126.184636 148.764056 170.236288 203.764728
 215.53372  237.984044 260.280652 282.478392]","['silence' 'intro' 'solo/instrumental' 'verse' 'chorus' 'verse' 'chorus'
 'solo/instrumental' 'verse' 'bridge' 'solo/instrumental' 'verse' 'chorus'
 'solo/instrumental' 'solo/instrumental' 'chorus']"
0069_digginmedown,365.721,110,4|4,Metal,"[  0.          4.033592   84.9755165 111.1573085 150.4300165 176.6118045
 197.3390505 236.6117465 254.0662345 271.5207945 288.9753225 323.8842465
 343.5207105]","['silence' 'intro' 'intro' 'verse' 'chorus' 'transition' 'verse' 'chorus'
 'solo/instrumental' 'solo/instrumental' 'bridge' 'transition' 'intro']"
0070_dipitlow,159.30700000000004,84,4|4,R&B,"[  0.         2.835864  14.199644  36.91876   59.637876  82.356332
  93.717916 127.79026 ]","['silence' 'intro' 'verse' 'chorus' 'verse' 'solo/instrumental' 'bridge'
 'chorus']"
0072_discoinferno,141.607,130,4|4,Funk/Disco,"[  0.          18.54398005  33.31654127  62.78034377  77.54436277
 106.92507577 122.0617744 ]",['intro' 'chorus' 'verse' 'chorus' 'verse' 'chorus' 'chorus']
0073_disturbia,135.045,125,4|4,Pop,"[  0.         5.786596  21.146564  51.386501  66.26647   82.586436
  97.466405 112.346374]","['silence' 'intro' 'verse' 'transition' 'chorus' 'intro' 'transition'
 'chorus']"
0074_djgotusfallininlove,139.751,120,4|4,Pop,[  0.   8.  24.  39.  72.  88. 103.],['intro' 'verse' 'transition' 'chorus' 'verse' 'transition' 'chorus']
0075_dontcha,148.196,120,4|4,R&B,"[  0.         2.        16.98511   49.946112  81.900036  97.903376
 129.907876]",['silence' 'intro' 'verse' 'chorus' 'verse' 'chorus' 'outro']
0077_dontsweat,161.713,106,4|4,Hip-Hop,"[  0.           2.299944    19.829851    56.64955029  74.79786729
  92.35771748 129.17472829]",['silence' 'intro' 'verse' 'chorus' 'solo/instrumental' 'verse' 'chorus']
0078_donttouchme,165.97400000000005,113,4|4,Hip-Hop,"[  0.         1.552254  10.378888  43.850861  57.119212  94.794687
 108.050812 124.496595 137.221345 150.46286 ]","['silence' 'intro' 'verse' 'chorus' 'verse' 'chorus' 'bridge' 'chorus'
 'chorus' 'outro']"
0079_dontyouwantme,223.258,117,4|4,Dance/Electronic,"[  0.         4.087964  24.011736  57.211892  81.72716   97.560507
 130.751064 155.258932 171.595636 187.928544 204.262276]","['silence' 'intro' 'verse' 'transition' 'chorus' 'verse' 'transition'
 'chorus' 'bridge' 'chorus' 'chorus']"
0080_down,144.196,132,4|4,Pop,"[  0.         1.826476   6.385388  22.73156   51.822248  64.549424
  81.82202  110.003624 122.7308  ]","['silence' 'intro' 'chorus' 'verse' 'transition' 'chorus' 'verse'
 'transition' 'chorus']"
0081_downonme,162.209,80,4|4,Hip-Hop,"[  0.         2.999964  26.249964  62.249964  86.999964 110.999964
 122.249964 146.999964]",['silence' 'intro' 'verse' 'chorus' 'verse' 'bridge' 'chorus' 'outro']
0082_dragosteadintei,146.496,130,4|4,Pop,[  0.923074  31.38546   61.846902  76.616086 106.15559  120.924774],['chorus' 'verse' 'transition' 'chorus' 'transition' 'transition']
0083_dragthewaters,300.751,126,4|4,Metal,"[  0.           3.839992    10.1238645   26.879225    57.306581
  64.9747125   78.63929427  93.98914428 124.40264178 132.07323178
 145.70588452 161.01005452 206.63177402 222.20145902 241.22140003
 249.07079203 264.73513302 280.41769303]","['silence' 'intro' 'solo/instrumental' 'verse' 'chorus' 'bridge' 'chorus'
 'verse' 'chorus' 'bridge' 'chorus' 'solo/instrumental' 'chorus' 'chorus'
 'intro' 'chorus' 'chorus' 'chorus']"
0084_dropitlikeitshot,167.125,92,4|4,Hip-Hop,"[  0.         5.217364  18.260844  39.130412  80.869548 112.1739
 133.043468 153.913036]",['silence' 'intro' 'chorus' 'verse' 'bridge' 'verse' 'chorus' 'outro']
0085_electricboogie,159.987,108,4|4,Reggaeton,"[  1.11111   15.548672  49.946908  68.804992 104.309796 121.508501
 139.821228]","['intro' 'chorus' 'verse' 'chorus' 'solo/instrumental' 'bridge'
 'solo/instrumental']"
0086_escapade,167.15099999999995,115,4|4,Pop,"[  0.        24.97186   58.30248   74.967284  91.635876 108.273368
 124.933996 141.578688 152.003344]","['intro' 'verse' 'transition' 'chorus' 'transition' 'solo/instrumental'
 'chorus' 'chorus' 'outro']"
0087_evacuate,121.162,127,4|4,Pop,[ 0.        1.895732  9.454772 24.572852 39.690932 69.927092 85.045172],['silence' 'intro' 'verse' 'transition' 'chorus' 'verse' 'chorus']
0088_everybody,170.236,108,4|4,Pop,"[  0.         1.663239  28.849124  46.066558  63.83781   91.046984
 108.267871 126.037024 143.807805]","['intro' 'chorus' 'verse' 'transition' 'chorus' 'verse' 'transition'
 'chorus' 'chorus']"
0090_fearofthedarklive,449.228,100,4|4,Metal,"[  0.           5.654712    42.508694    68.56101     95.607018
 121.845832   141.559162   160.691928   179.623786   198.783811
 214.922382   234.478504   265.200386   295.089021   310.057641
 339.116374   359.030217   378.30689575 417.92215775 431.17052775]","['silence' 'intro' 'solo/instrumental' 'verse' 'chorus'
 'solo/instrumental' 'verse' 'chorus' 'verse' 'chorus' 'solo/instrumental'
 'solo/instrumental' 'solo/instrumental' 'solo/instrumental' 'bridge'
 'solo/instrumental' 'verse' 'chorus' 'solo/instrumental' 'outro']"
0092_fergalicious,149.032,129,4|4,Pop,"[  0.         3.72308   20.46722   49.769465  65.11826   80.00194
  94.420505 109.7693   124.65298 ]","['silence' 'intro' 'verse' 'chorus' 'verse' 'bridge' 'chorus' 'bridge'
 'outro']"
0093_fireburning,148.483,123,4|4,Reggaeton,"[  1.465797  17.550988  32.672881  48.282577  63.892273  79.501969
  95.111665 110.721361 126.331057]","['intro' 'verse' 'transition' 'chorus' 'transition' 'bridge' 'transition'
 'chorus' 'transition']"
0094_fireflies,230.474,90,4|4,Pop,"[  0.         5.33332   26.6666    48.000488  69.335308  90.666408
 114.666348 135.999284 157.332928 178.666208 199.999488 221.421068]","['silence' 'intro' 'verse' 'chorus' 'verse' 'chorus' 'verse' 'verse'
 'chorus' 'chorus' 'chorus' 'outro']"
0095_firework,166.65400000000002,124,4|4,Pop,"[  0.         7.741376  37.257446  53.225156  85.160576 115.160516
 147.095936]",['intro' 'verse' 'transition' 'chorus' 'verse' 'chorus' 'bridge']
0096_fivemagics,343.8640000000001,174,4|4,Metal,"[  0.           4.00554     38.758162    94.499817   128.837018
 172.1969355  198.36946225 206.69269625 219.24720825 247.25788175
 288.43969775]","['silence' 'intro' 'solo/instrumental' 'solo/instrumental' 'verse'
 'solo/instrumental' 'bridge' 'transition' 'chorus' 'verse'
 'solo/instrumental']"
0098_floods,424.443,120,4|4,Metal,"[  0.          4.247776   20.67593    73.409903   90.180139  142.6430405
 158.2490605 187.5299335 235.4233365 306.153534  378.845653 ]","['silence' 'intro' 'verse' 'chorus' 'verse' 'chorus' 'chorus' 'silence'
 'solo/instrumental' 'silence' 'outro']"
0099_forgetyou,165.19,128,4|4,R&B,"[  0.941176     8.94302     39.52051258  53.62774878  69.15476678
  99.74368778 129.39099619]",['intro' 'chorus' 'verse' 'transition' 'chorus' 'bridge' 'chorus']
0100_futureperfecttense,268.279,120,4|4,Indie Rock,"[  0.           4.033592    32.041243    46.041355    56.5286535
  64.5047255  104.5471935  115.03107048 155.03115048 182.03115048
 210.03115048]","['silence' 'solo/instrumental' 'solo/instrumental' 'solo/instrumental'
 'verse' 'verse' 'solo/instrumental' 'verse' 'chorus' 'silence'
 'solo/instrumental']"
0101_galang,160.066,101,4|4,Reggaeton,"[  0.         7.142844  26.149604  54.6118    64.134432  83.132612
  92.637556 114.0355  ]",['silence' 'intro' 'verse' 'chorus' 'verse' 'chorus' 'bridge' 'intro']
0102_gangstaluv,242.631,102,4|4,Hip-Hop,"[  0.         4.729072  23.55144   51.78674   89.434908 117.669036
 155.316048 183.551364 221.1984  ]","['silence' 'intro' 'chorus' 'verse' 'chorus' 'verse' 'chorus' 'verse'
 'chorus']"
0104_getbusy,173.007,100,4|4,Reggaeton,"[  0.         2.4       11.952304  21.523616  45.478044  64.639676
  88.591716 107.741456 117.322272 126.899512 150.836112]","['silence' 'intro' 'chorus' 'verse' 'chorus' 'verse' 'chorus' 'intro'
 'intro' 'verse' 'outro']"
0105_getdownonit,169.609,111,4|4,Funk/Disco,"[  1.656387  19.560732  36.756552  54.013104  70.751499  88.610408
 105.702128 122.870912 140.083068]","['intro' 'chorus' 'verse' 'chorus' 'verse' 'transition' 'bridge' 'chorus'
 'chorus']"
0106_getitshawty,146.444,128,4|4,R&B,"[  0.         1.87764    9.3576    23.886556  39.352864  69.392492
  99.4058   129.410456]",['silence' 'intro' 'verse' 'transition' 'chorus' 'verse' 'chorus' 'outro']
0107_getlow,187.936,101,4|4,Hip-Hop,"[  1.188108  11.88116   40.395992  87.920712 116.435544 144.950376
 172.871149]",['intro' 'chorus' 'verse' 'chorus' 'bridge' 'chorus' 'intro']
0108_getup,162.942,108,4|4,Funk/Disco,"[  0.         5.71428    9.142848  35.74722   57.844224  75.76802
  84.686908 104.514472 128.967188 137.8879  ]","['silence' 'intro' 'chorus' 'verse' 'solo/instrumental' 'chorus' 'bridge'
 'chorus' 'transition' 'chorus']"
0109_geturfreakon,168.06599999999997,89,4|4,Hip-Hop,"[  0.           2.022471    13.492372    35.07724     59.375928
  78.262932    99.91665794 121.49563394 143.08085794]","['silence' 'intro' 'verse' 'chorus' 'verse' 'chorus' 'bridge' 'chorus'
 'outro']"
0110_girlsandboys,150.68,120,4|4,Pop,"[  0.        31.987804  63.977052  79.971676  95.9663   111.948508
 127.943132]",['intro' 'verse' 'chorus' 'chorus' 'transition' 'chorus' 'transition']
0111_girlsonfilm,212.408,131,4|4,Pop,"[  0.         3.636312  18.1989    49.187292  64.702272 103.011792
 116.73839  145.94339  177.00815  191.640174]","['silence' 'intro' 'verse' 'chorus' 'verse' 'chorus' 'bridge' 'verse'
 'chorus' 'chorus']"
0112_giveitup,173.007,140,4|4,Dance/Electronic,"[  0.         5.159916  18.876516  32.590788  46.30506   53.17428
  66.888552  80.602824  94.333164 108.047436 121.748704]","['silence' 'intro' 'verse' 'chorus' 'transition' 'verse' 'chorus' 'chorus'
 'bridge' 'solo/instrumental' 'verse']"
0113_giveituptome,152.667,96,4|4,Reggaeton,"[  0.         9.992016  29.991856  49.991696  69.991536  89.991376
 109.991216 129.991056]",['intro' 'chorus' 'verse' 'chorus' 'verse' 'bridge' 'chorus' 'outro']
0114_givemeeverything,163.90900000000005,129,4|4,Pop,"[  0.         5.58138   22.325556  44.651124  59.06972   87.441796
 104.185972 126.046424 141.395252]","['intro' 'chorus' 'verse' 'bridge' 'transition' 'chorus' 'verse' 'chorus'
 'bridge']"
0115_gonnamakeyousweat,162.0,114,4|4,Pop,"[  0.         6.274488  14.640472  31.390688  69.074008  85.822112
  94.205032 119.334568 136.088864 152.841924]","['intro' 'intro' 'chorus' 'verse' 'transition' 'intro' 'bridge'
 'solo/instrumental' 'transition' 'outro']"
0116_goodies,130.208,101,4|4,R&B,"[  0.         2.354916   7.06062   35.294844  54.116476  72.93962
  91.7631   101.174588 120.003272]","['silence' 'intro' 'verse' 'transition' 'chorus' 'transition' 'bridge'
 'chorus' 'outro']"
0117_goodmorningblackfriday,405.409,175,4|4,Metal,"[  0.         4.        71.348642 104.090692 147.56475  175.771494
 195.39449  238.537198 257.327318 305.72378  327.202384 355.66311 ]","['silence' 'intro' 'solo/instrumental' 'verse' 'solo/instrumental'
 'solo/instrumental' 'verse' 'solo/instrumental' 'verse'
 'solo/instrumental' 'verse' 'chorus']"
0118_grenade,141.999,110,4|4,Pop,"[  0.           2.19078     35.34261393  67.37866993  91.82024993
 123.85630593]",['silence' 'verse' 'chorus' 'bridge' 'chorus' 'outro']
0119_gunpowderandlead,190.08,94,4|4,Country,"[  0.         7.659564  16.595722  38.29782   57.460456  62.566976
  82.960243 102.126324 107.2327   114.893138 135.318642]","['silence' 'intro' 'verse' 'chorus' 'transition' 'verse' 'chorus'
 'transition' 'bridge' 'chorus' 'solo/instrumental']"
0120_hallowedbethyname,481.047,120,4|4,Metal,"[  0.        10.558062  98.884182 114.761074 147.864906 163.806886
 180.859022 196.746166 228.805266 244.588154 262.585406 287.378006
 323.335475 374.121394 407.369407]","['silence' 'intro' 'solo/instrumental' 'verse' 'solo/instrumental'
 'solo/instrumental' 'solo/instrumental' 'verse' 'solo/instrumental'
 'silence' 'bridge' 'solo/instrumental' 'solo/instrumental' 'outro'
 'silence']"
0122_heardemall,127.515,98,4|4,Pop,"[  0.         2.448976  12.24488   22.040784  31.224444  41.632592
  51.428496  61.2244    70.40806   90.630996 100.4269   110.222804]","['silence' 'intro' 'verse' 'chorus' 'verse' 'transition' 'chorus' 'chorus'
 'transition' 'chorus' 'chorus' 'outro']"
0123_heavyduty,299.47,73,4|4,Metal,"[  0.          6.48648    22.791536   35.853968   61.95729    88.102386
 101.163602  128.918686  155.041118  213.839566  241.617014  266.9662765
 286.1763155]","['silence' 'intro' 'intro' 'verse' 'chorus' 'intro' 'verse' 'chorus'
 'solo/instrumental' 'verse' 'chorus' 'solo/instrumental' 'outro']"
0124_hello,170.863,128,4|4,Dance/Electronic,"[  0.         7.5       22.5       30.        37.5       52.5
  67.5       75.        82.5      105.030944 120.032128 135.033312
 142.533904 150.034496]","['intro' 'chorus' 'verse' 'transition' 'solo/instrumental' 'chorus'
 'bridge' 'transition' 'solo/instrumental' 'solo/instrumental' 'chorus'
 'verse' 'transition' 'outro']"
0125_hellogoodmorning,171.805,104,4|4,Hip-Hop,"[  0.         2.30326   11.5163    39.208101  66.897081 103.820153
 131.512457 159.204761]","['silence' 'intro' 'chorus' 'transition' 'verse' 'chorus' 'transition'
 'intro']"
0126_heymami,116.142,133,4|4,Hip-Hop,"[ 0.        1.804496  9.02248  23.453192 37.88916  52.325128 66.761096
 81.197064 95.63386 ]","['silence' 'intro' 'chorus' 'chorus' 'verse' 'chorus' 'solo/instrumental'
 'bridge' 'chorus']"
0127_hollabackgirl,150.732,110,4|4,Pop,"[  0.         6.54386   10.907492  28.36202   45.816548  63.271076
  80.725604  98.180132 115.63466  133.089188]","['silence' 'intro' 'chorus' 'transition' 'verse' 'chorus' 'transition'
 'verse' 'chorus' 'transition']"
